Name,Description,Type,Business Topic,Geography,Certifications,Additional Experience,Diversity,Engagement Model,Industries,Languages,URL
Comtrade d.o.o.,,Reseller,,Slovenia,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11645.html
Comture Corp,,Consulting,,Japan,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9018.html
Conectt S/A,,Reseller,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/12168.html
Consenit SA - Argentina,,Reseller,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9838.html
Conseqta Technology LLC,,Consulting,,United States,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/13606.html
Consit A/S,"Consit A/S delivers business critical solutions to our customers, covering ERP-, CRM-, ESDH-and BI solutions. All the solutions are based on the customer's business processes and potential added value from the solution.",Reseller,,Denmark,,,,Sell With,"Education, Financial Services, Public Sector/Government, Human Resources, Manufacturing, Retail","Danish, English, Norwegian, Swedish",https://www.sas.com/en_us/partners/find-a-partner/all-partners/7392.html
CONSOFT SISTEMI S.P.A.,,Consulting,,Italy,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/4726.html
Consortix (Cameroon),,Reseller,,South Africa,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10018.html
Consortix (Canada),,Reseller,,Canada,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8994.html
Consortix (Denmark),,Reseller,,Denmark,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9277.html
Consortix (Finland),,Reseller,,Finland,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9273.html
Consortix (Greece),,Consulting,,"Cyprus, Greece",,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9651.html
Consortix (Hungary),,Reseller,,"Finland, Hungary",,,,MASP,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/7754.html
Consortix (Poland),,Reseller,,Poland,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9314.html
Consortix (Slovakia),,Reseller,,Slovakia,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10093.html
Consortix (UK),,Reseller,,United Kingdom,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9296.html
Conspect Consulting & ICT,,Consulting,,Netherlands,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/6589.html
