Name,Description,Type,Business Topic,Geography,Certifications,Additional Experience,Diversity,Engagement Model,Industries,Languages,URL
CISCO (Philippines),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/cisco.html
CISCO (Portugal),,Technology,,Portugal,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9517.html
CISCO (Sweden),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/cisco.html
CISCO (Switzerland),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/cisco.html
CISCO (UK),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/cisco.html
CISCO (US),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/cisco.html
Cist Evolution,,Reseller,,Mexico,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10608.html
Citrus Solutions Oy,,Reseller,,Finland,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/7309.html
Clarity Consulting Group AS,,Reseller,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/14138.html
"Clearblade, Inc.",,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9386.html
ClearObject (fka Cloudone),,Consulting,,United States,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/7861.html
CleMetric LLC,,,,,,,,,,,http://clemetric.com/
Clickit,,Reseller,,Argentina,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/13493.html
Closer,"A Data Science company specialized in Business Intelligence, Advanced Analytics and Artificial Intelligence.",Consulting,"Analytics, Data Management, Visualization",Portugal,,"Analytic Modernization, Customer Intelligence, Risk Management",,Sell With,"Insurance, Retail, Manufacturing, Health Care and Life Sciences, Financial Services, Hospitality, Telecommunications, Energy and Utilities","English, Portuguese",https://www.sas.com/en_us/partners/find-a-partner/all-partners/2706.html
Cloud9 Consulting,,Consulting,,Australia,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9616.html
Cloudberries AS,,Consulting,,Norway,,,,Delivery Partner,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/12627.html
