Name,Description,Type,Business Topic,Geography,Certifications,Additional Experience,Diversity,Engagement Model,Industries,Languages,URL
HCL (India),,Consulting,,"Canada, Georgia, India, Singapore, United States",,,,Sell With,"Insurance, Manufacturing, Retail, Telecommunications",English,https://www.sas.com/en_us/partners/find-a-partner/all-partners/3975.html
Health Information Solutions,"We build custom web-based SAS applications in the healthcare sector.  We also specialize in database design, data linkage, and SAS installation/administration support.",Consulting,"Analytics, Data Management",United States,SAS Certified Base Programmer for SAS 9,,Woman-Owned Small Business,Sell With,Health Care and Life Sciences,"English, German",https://www.sas.com/en_us/partners/find-a-partner/all-partners/302.html
"Healthcare Analytics Team, LLC",,Consulting,,United States,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/12950.html
Healthplus.ai BV,,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/14211.html
Hearful Technologies Inc,,Reseller,,United States,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9522.html
Hecht und Heck Consulting GmbH,,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8891.html
Hedera Consulting BVBA,,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8177.html
HENDYPLAN,,Reseller,,France,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8970.html
Hewlett Packard Enterprise (Singapore),,Reseller,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/13645.html
Hewlett-Packard (M) Sdn Bhd,,,,,,,,,,,http://www.sas.com/partners/directory/hp/index.html
Hewlett-Packard (Schweiz) GmbH,,,,,,,,,,,http://www.sas.com/partners/directory/hp/index.html
Hewlett-Packard GmbH,,,,,,,,,,,http://www.sas.com/partners/directory/hp/index.html
Hewlett-Packard Italiana S.r.l.,,,,,,,,,,,http://www.sas.com/partners/directory/hp/index.html
"Hewlett-Packard Japan, Ltd",,,,,,,,,,,http://www.sas.com/partners/directory/hp/index.html
Hexagondata,,Reseller,,Mexico,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8901.html
HEXE S.P.A.,,Reseller,,Italy,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/3736.html
Hiflylabs Kft.,,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8576.html
Hint AG,,Consulting,,Switzerland,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8346.html
Hitachi Solutions Ltd,,Reseller,,Japan,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/6738.html
Hitachi Systems Ltd,,Consulting,,Japan,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/12609.html
"HITactics, Inc.",,Reseller,,"Georgia, United States",,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9306.html
HITECH DISTRIBUZIONE INFORMATICA SRL,,Reseller,,,,,,Reseller,,"Italian, English",https://www.sas.com/en_us/partners/find-a-partner/all-partners/10652.html
HKBN JOS (SINGAPORE) PTE. LTD.,,Reseller,,Singapore,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/7424.html
