Name,Description,Type,Business Topic,Geography,Certifications,Additional Experience,Diversity,Engagement Model,Industries,Languages,URL
Blue Ocean Data Solutions Sdn Bhd,,Consulting,,Malaysia,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/6076.html
Blue Star Infotech Limited,,Consulting,,India,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/4237.html
Bluechip Technologies Ltd,,Reseller,,Nigeria,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8785.html
Blueshift,,Consulting,,Brazil,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9094.html
Blutech Consulting,,Consulting,,Pakistan,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/13570.html
"BM GROUP SK, s.r.o.",,Consulting,,Slovakia,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8215.html
Bmatix,,Reseller,,Belgium,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8100.html
BNL Consulting LLC,,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/us-partners/bnl.html
BoardWare Information System (HK) Limited,,Consulting,,"Hong Kong, Macau",,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11438.html
Bogo Information System,,Consulting,,"Korea, Republic of",,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11675.html
Boon Software Consulting Pte Ltd,,Reseller,,Singapore,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9376.html
BOOTIQ s.r.o.,,Reseller,,Czechia,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/13458.html
Booz Allen Hamilton Inc,,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/98.html
Bosphorus Analytica Teknoloji ve Danismanlik Ltd. St,"Bosphorus Analytica is founded in 2018 by a group of experienced analytics professionals with the objective of empowering businesses to leverage the power of their data assets for enabling growth We have three main focus: 1) Accelerate growth for our clients through market&customer segmentation, marketing optimization, pricing optimization, CLV modeling and channel analytics 2) Minimize risks for our clients through credit risk scoring, fraud management and financial risk modeling 3) Optimize investments of our clients through infrastructure optimization and footprint optimization ",Reseller,Analytics,Turkey,,"Analytic Modernization, Customer Intelligence, Risk Management",,Reseller,"Insurance, Public Sector/Government, Financial Services, Energy and Utilities, Retail, Telecommunications",English,https://www.sas.com/en_us/partners/find-a-partner/all-partners/12725.html
Boston Consulting Group Sp. z o.o.,,Consulting,,Poland,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/13781.html
