Name,Description,Type,Business Topic,Geography,Certifications,Additional Experience,Diversity,Engagement Model,Industries,Languages,URL
BCS Technology (Philippines),,Reseller,,Philippines,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9521.html
BD Consultores (Costa Rica),"BD Consultores is the leading company in Central America in the implementation of business solutions; with more than 20 years of experience and knowledge in digital transformation. Through the advice, implementation, development, and integration of world-class solutions; that offer more than 100 clients from its workshops in Costa Rica, Panama, Guatemala, and El Salvador.",Reseller,"Analytics, Data Management, Visualization",Costa Rica,,"Analytic Modernization, Customer Intelligence, Fraud (Security Intelligence), Risk Management",,Reseller,"Public Sector/Government, Financial Services, Retail, Insurance","Spanish, English",https://www.sas.com/en_us/partners/find-a-partner/all-partners/11678.html
BD Consultores Internacional SA,,Reseller,,"Antigua and Barbuda, Barbados, Bahamas, Belize, Dominican Republic, Grenada, Guatemala, Guyana, Honduras, Haiti, Jamaica, Saint Lucia, Montserrat, Puerto Rico, Suriname, El Salvador, Trinidad and Tobago",,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11984.html
BD Consultores Panama SA,,Reseller,,"Belize, Panama, El Salvador",,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11981.html
BearingPoint (Netherlands),,Reseller,,Netherlands,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8339.html
BearingPoint (Sweden),,Reseller,,Sweden,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/4013.html
Bechtle Brussels NV,,Consulting,,"Belgium, Luxembourg",,,,Sell With,,"English, Dutch, French",https://www.sas.com/en_us/partners/find-a-partner/all-partners/11101.html
Beijing Jing Qiang Technology Development Co Ltd,,Reseller,,China,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9985.html
Beijing Reelsky Xinshi Data Technology Co Ltd,,Consulting,,China,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11776.html
Beijing Teamsun Technology Co Ltd,,Reseller,,China,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10060.html
"BEIJING ZHONGKE HAOHUI TECHNOLOGY CO., LTD",,Reseller,,China,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9586.html
"Beluga, s.r.o.",,Reseller,,Slovakia,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9200.html
