Name,Description,Type,Business Topic,Geography,Certifications,Additional Experience,Diversity,Engagement Model,Industries,Languages,URL
Poder Digital SPA - Chile,,Reseller,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9567.html
point of origin Marketing Consulting & Consumer intelligence GmbH,,Consulting,,Austria,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/7707.html
Polestar Solutions & Services,,Reseller,,India,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9362.html
Positive Thinking  Company (Austria),"“We are a global tech group that delivers end-to-end tech solutions through a global delivery model. At Positive Thinking Company, we aim to create positive business outcomes that support our clients through their ever-changing business environments so they can thrive in our global economy.

We invest our efforts in unlocking the full potential of not only our clients, but also that of our coworkers by providing them an evolutive environment encouraging collaboration, creativity and positive mindset.

To meet our client’s present and future challenges we offer a global delivery approach. This hybrid model, leveraging both local and global delivery centers, allows our customers to access flexible delivery options and find the best balance between proximity, cost, quality and risk.

Through 3,000 local tech specialists on the ground in over 35 cities across Europe, the USA, Asia, Australia and Africa, we offer a full portfolio of services that draw on a wide array of expertise, including apps & platforms, security, cloud, data & analytics, hyperautomation and digital workplace.

The industries that benefit include, among others, banking and financial services, insurance, healthcare, retail, transportation, telecom and public sector. We serve each of them with a meaningful and collaborative mindset, always keeping at heart our historic motto: Collaboration betters our world.

Positive Thinking Company – let’s do something great together”
",Reseller,"Analytics, Data Management, Visualization",Austria,"SAS Certified Data Quality Steward for SAS 9, SAS Certified Data Integration Developer for SAS 9, SAS Certified Visual Business Analyst Exploration and Design Using SAS Visual Analytics, SAS Certified Platform Administrator for SAS 9, SAS Certified Base Programmer for SAS 9, SAS Certified Statistical Business Analyst Using SAS 9 Regression and Modeling, SAS 9.4 Business Analytics Platform Deployment Practical Certification, SAS Certified Predictive Modeler using Enterprise Miner 13, SAS Certified Advanced Programmer for SAS 9, SAS Certified Visual Analytics Deployment Specialist Using SAS 9 Certification Exam","Analytic Modernization, Customer Intelligence, Fraud (Security Intelligence), Risk Management",,Reseller,"Manufacturing, Energy and Utilities, Financial Services, Retail, Telecommunications, Public Sector/Government, Health Care and Life Sciences, Education, Insurance, Pharmaceutical","English, Dutch, German, French",https://www.sas.com/en_us/partners/find-a-partner/all-partners/9635.html
Positive Thinking Company (Belgium),"“We are a global tech group that delivers end-to-end tech solutions through a global delivery model. At Positive Thinking Company, we aim to create positive business outcomes that support our clients through their ever-changing business environments so they can thrive in our global economy.

We invest our efforts in unlocking the full potential of not only our clients, but also that of our coworkers by providing them an evolutive environment encouraging collaboration, creativity and positive mindset.

To meet our client’s present and future challenges we offer a global delivery approach. This hybrid model, leveraging both local and global delivery centers, allows our customers to access flexible delivery options and find the best balance between proximity, cost, quality and risk.

Through 3,000 local tech specialists on the ground in over 35 cities across Europe, the USA, Asia, Australia and Africa, we offer a full portfolio of services that draw on a wide array of expertise, including apps & platforms, security, cloud, data & analytics, hyperautomation and digital workplace.

The industries that benefit include, among others, banking and financial services, insurance, healthcare, retail, transportation, telecom and public sector. We serve each of them with a meaningful and collaborative mindset, always keeping at heart our historic motto: Collaboration betters our world.

Positive Thinking Company – let’s do something great together”
",Reseller,"Analytics, Data Management, Visualization",,"SAS Certified Advanced Programmer for SAS 9, SAS Certified Predictive Modeler using Enterprise Miner 13, SAS Certified Visual Business Analyst Exploration and Design Using SAS Visual Analytics, SAS 9.4 Business Analytics Platform Deployment Practical Certification, SAS Certified Data Quality Steward for SAS 9, SAS Certified Visual Analytics Deployment Specialist Using SAS 9 Certification Exam, SAS Certified Platform Administrator for SAS 9, SAS Certified Data Integration Developer for SAS 9, SAS Certified Base Programmer for SAS 9, SAS Certified Statistical Business Analyst Using SAS 9 Regression and Modeling","Analytic Modernization, Customer Intelligence, Fraud (Security Intelligence), Risk Management",,Reseller,"Retail, Telecommunications, Health Care and Life Sciences, Pharmaceutical, Public Sector/Government, Financial Services, Education, Energy and Utilities, Insurance","Dutch, French, German, English",https://www.sas.com/en_us/partners/find-a-partner/all-partners/13469.html
Positive Thinking Company (France),"“We are a global tech group that delivers end-to-end tech solutions through a global delivery model. At Positive Thinking Company, we aim to create positive business outcomes that support our clients through their ever-changing business environments so they can thrive in our global economy.

We invest our efforts in unlocking the full potential of not only our clients, but also that of our coworkers by providing them an evolutive environment encouraging collaboration, creativity and positive mindset.

To meet our client’s present and future challenges we offer a global delivery approach. This hybrid model, leveraging both local and global delivery centers, allows our customers to access flexible delivery options and find the best balance between proximity, cost, quality and risk.

Through 3,000 local tech specialists on the ground in over 35 cities across Europe, the USA, Asia, Australia and Africa, we offer a full portfolio of services that draw on a wide array of expertise, including apps & platforms, security, cloud, data & analytics, hyperautomation and digital workplace.

The industries that benefit include, among others, banking and financial services, insurance, healthcare, retail, transportation, telecom and public sector. We serve each of them with a meaningful and collaborative mindset, always keeping at heart our historic motto: Collaboration betters our world.

Positive Thinking Company – let’s do something great together”
",Reseller,"Analytics, Data Management, Visualization",,"SAS Certified Visual Analytics Deployment Specialist Using SAS 9 Certification Exam, SAS Certified Base Programmer for SAS 9, SAS Certified Statistical Business Analyst Using SAS 9 Regression and Modeling, SAS Certified Visual Business Analyst Exploration and Design Using SAS Visual Analytics, SAS Certified Data Integration Developer for SAS 9, SAS 9.4 Business Analytics Platform Deployment Practical Certification, SAS Certified Predictive Modeler using Enterprise Miner 13, SAS Certified Platform Administrator for SAS 9, SAS Certified Advanced Programmer for SAS 9, SAS Certified Data Quality Steward for SAS 9","Analytic Modernization, Customer Intelligence, Fraud (Security Intelligence), Risk Management",,Reseller,"Retail, Health Care and Life Sciences, Education, Pharmaceutical, Manufacturing, Telecommunications, Energy and Utilities, Public Sector/Government, Insurance, Financial Services","French, German, Dutch, English",https://www.sas.com/en_us/partners/find-a-partner/all-partners/13597.html
Positive Thinking Company (Luxembourg),"“We are a global tech group that delivers end-to-end tech solutions through a global delivery model. At Positive Thinking Company, we aim to create positive business outcomes that support our clients through their ever-changing business environments so they can thrive in our global economy.

We invest our efforts in unlocking the full potential of not only our clients, but also that of our coworkers by providing them an evolutive environment encouraging collaboration, creativity and positive mindset.

To meet our client’s present and future challenges we offer a global delivery approach. This hybrid model, leveraging both local and global delivery centers, allows our customers to access flexible delivery options and find the best balance between proximity, cost, quality and risk.

Through 3,000 local tech specialists on the ground in over 35 cities across Europe, the USA, Asia, Australia and Africa, we offer a full portfolio of services that draw on a wide array of expertise, including apps & platforms, security, cloud, data & analytics, hyperautomation and digital workplace.

The industries that benefit include, among others, banking and financial services, insurance, healthcare, retail, transportation, telecom and public sector. We serve each of them with a meaningful and collaborative mindset, always keeping at heart our historic motto: Collaboration betters our world.

Positive Thinking Company – let’s do something great together”
",Reseller,"Analytics, Data Management, Visualization",,"SAS 9.4 Business Analytics Platform Deployment Practical Certification, SAS Certified Statistical Business Analyst Using SAS 9 Regression and Modeling, SAS Certified Data Integration Developer for SAS 9, SAS Certified Data Quality Steward for SAS 9, SAS Certified Predictive Modeler using Enterprise Miner 13, SAS Certified Platform Administrator for SAS 9, SAS Certified Visual Analytics Deployment Specialist Using SAS 9 Certification Exam, SAS Certified Base Programmer for SAS 9, SAS Certified Advanced Programmer for SAS 9, SAS Certified Visual Business Analyst Exploration and Design Using SAS Visual Analytics","Analytic Modernization, Customer Intelligence, Fraud (Security Intelligence), Risk Management",,Reseller,"Insurance, Health Care and Life Sciences, Public Sector/Government, Education, Telecommunications, Energy and Utilities, Retail, Pharmaceutical, Financial Services","Dutch, French, German, English",https://www.sas.com/en_us/partners/find-a-partner/all-partners/13472.html
Positive Thinking Company (Netherlands),"“We are a global tech group that delivers end-to-end tech solutions through a global delivery model. At Positive Thinking Company, we aim to create positive business outcomes that support our clients through their ever-changing business environments so they can thrive in our global economy.

We invest our efforts in unlocking the full potential of not only our clients, but also that of our coworkers by providing them an evolutive environment encouraging collaboration, creativity and positive mindset.

To meet our client’s present and future challenges we offer a global delivery approach. This hybrid model, leveraging both local and global delivery centers, allows our customers to access flexible delivery options and find the best balance between proximity, cost, quality and risk.

Through 3,000 local tech specialists on the ground in over 35 cities across Europe, the USA, Asia, Australia and Africa, we offer a full portfolio of services that draw on a wide array of expertise, including apps & platforms, security, cloud, data & analytics, hyperautomation and digital workplace.

The industries that benefit include, among others, banking and financial services, insurance, healthcare, retail, transportation, telecom and public sector. We serve each of them with a meaningful and collaborative mindset, always keeping at heart our historic motto: Collaboration betters our world.

Positive Thinking Company – let’s do something great together”
",Reseller,"Analytics, Data Management, Visualization",,"SAS Certified Data Quality Steward for SAS 9, SAS Certified Platform Administrator for SAS 9, SAS Certified Data Integration Developer for SAS 9, SAS Certified Base Programmer for SAS 9, SAS Certified Advanced Programmer for SAS 9, SAS 9.4 Business Analytics Platform Deployment Practical Certification, SAS Certified Visual Business Analyst Exploration and Design Using SAS Visual Analytics, SAS Certified Visual Analytics Deployment Specialist Using SAS 9 Certification Exam, SAS Certified Statistical Business Analyst Using SAS 9 Regression and Modeling, SAS Certified Predictive Modeler using Enterprise Miner 13",,,Reseller,"Manufacturing, Pharmaceutical, Public Sector/Government, Education, Insurance, Energy and Utilities, Financial Services, Retail, Health Care and Life Sciences, Telecommunications","English, German, Dutch, French",https://www.sas.com/en_us/partners/find-a-partner/all-partners/13466.html
Positive Thinking Company (Switzerland),"“We are a global tech group that delivers end-to-end tech solutions through a global delivery model. At Positive Thinking Company, we aim to create positive business outcomes that support our clients through their ever-changing business environments so they can thrive in our global economy.

We invest our efforts in unlocking the full potential of not only our clients, but also that of our coworkers by providing them an evolutive environment encouraging collaboration, creativity and positive mindset.

To meet our client’s present and future challenges we offer a global delivery approach. This hybrid model, leveraging both local and global delivery centers, allows our customers to access flexible delivery options and find the best balance between proximity, cost, quality and risk.

Through 3,000 local tech specialists on the ground in over 35 cities across Europe, the USA, Asia, Australia and Africa, we offer a full portfolio of services that draw on a wide array of expertise, including apps & platforms, security, cloud, data & analytics, hyperautomation and digital workplace.

The industries that benefit include, among others, banking and financial services, insurance, healthcare, retail, transportation, telecom and public sector. We serve each of them with a meaningful and collaborative mindset, always keeping at heart our historic motto: Collaboration betters our world.

Positive Thinking Company – let’s do something great together”
",Reseller,"Analytics, Data Management, Visualization",Switzerland,"SAS Certified Visual Business Analyst Exploration and Design Using SAS Visual Analytics, SAS Certified Statistical Business Analyst Using SAS 9 Regression and Modeling, SAS Certified Data Integration Developer for SAS 9, SAS Certified Visual Analytics Deployment Specialist Using SAS 9 Certification Exam, SAS 9.4 Business Analytics Platform Deployment Practical Certification, SAS Certified Advanced Programmer for SAS 9, SAS Certified Base Programmer for SAS 9, SAS Certified Data Quality Steward for SAS 9, SAS Certified Predictive Modeler using Enterprise Miner 13, SAS Certified Platform Administrator for SAS 9","Analytic Modernization, Customer Intelligence, Fraud (Security Intelligence), Risk Management",,Reseller,"Public Sector/Government, Insurance, Health Care and Life Sciences, Manufacturing, Telecommunications, Education, Retail, Financial Services, Energy and Utilities, Pharmaceutical","French, English, Danish, German",https://www.sas.com/en_us/partners/find-a-partner/all-partners/9637.html
Positive Thinking Company GmbH,"“We are a global tech group that delivers end-to-end tech solutions through a global delivery model. At Positive Thinking Company, we aim to create positive business outcomes that support our clients through their ever-changing business environments so they can thrive in our global economy.

We invest our efforts in unlocking the full potential of not only our clients, but also that of our coworkers by providing them an evolutive environment encouraging collaboration, creativity and positive mindset.

To meet our client’s present and future challenges we offer a global delivery approach. This hybrid model, leveraging both local and global delivery centers, allows our customers to access flexible delivery options and find the best balance between proximity, cost, quality and risk.

Through 3,000 local tech specialists on the ground in over 35 cities across Europe, the USA, Asia, Australia and Africa, we offer a full portfolio of services that draw on a wide array of expertise, including apps & platforms, security, cloud, data & analytics, hyperautomation and digital workplace.

The industries that benefit include, among others, banking and financial services, insurance, healthcare, retail, transportation, telecom and public sector. We serve each of them with a meaningful and collaborative mindset, always keeping at heart our historic motto: Collaboration betters our world.

Positive Thinking Company – let’s do something great together”
",Reseller,"Analytics, Data Management, Visualization",Germany,"SAS Certified Predictive Modeler using Enterprise Miner 13, SAS 9.4 Business Analytics Platform Deployment Practical Certification, SAS Certified Base Programmer for SAS 9, SAS Certified Data Integration Developer for SAS 9, SAS Certified Data Quality Steward for SAS 9, SAS Certified Platform Administrator for SAS 9, SAS Certified Visual Business Analyst Exploration and Design Using SAS Visual Analytics, SAS Certified Visual Analytics Deployment Specialist Using SAS 9 Certification Exam","Analytic Modernization, Customer Intelligence, Fraud (Security Intelligence), Risk Management",,Sell With,"Education, Financial Services, Public Sector/Government, Health Care and Life Sciences, Insurance, Manufacturing, Media and Entertainment, Pharmaceutical, Retail, Telecommunications, Energy and Utilities","English, German, French, Dutch",https://www.sas.com/en_us/partners/find-a-partner/all-partners/4622.html
