Name,Description,Type,Business Topic,Geography,Certifications,Additional Experience,Diversity,Engagement Model,Industries,Languages,URL
ALTRON TMT (PTY) LTD,,Reseller,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10160.html
AMA Institute,,Consulting,,Poland,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8764.html
Amadeus Software Ltd,"Amadeus Software is a leading analytics consultancy and SAS UK partner and has been providing expertise since 1989. Our certified consultants have skills across the entire SAS product portfolio marking us as one of the leading UK SAS implementation partners and trusted SAS Experts. Analytics services: Managed Services, Consultancy, Data Science, Training (SAS), Software Reselling (SAS) and Graduate Placement. Technical expertise: analytics, data science, on-premise and cloud-hosted environments, analytics solutions, application development and SAS platforms. Accreditations: AWS Advanced Technology Partner, SAS Gold Partner, SAS Resell Partner, Customer Intelligence and Analytic Modernisation SAS specialisations and Data Management and Visualisation SAS competencies. ",Reseller,"Analytics, Data Management, Visualization",United Kingdom,"SAS 9.4 Business Analytics Platform Deployment Practical Certification, SAS Certified Base Programmer for SAS 9, SAS Certified Data Integration Developer for SAS 9, SAS Certified Data Quality Steward for SAS 9, SAS Certified Platform Administrator for SAS 9, SAS Certified Visual Business Analyst Exploration and Design Using SAS Visual Analytics, SAS Certified Visual Analytics Deployment Specialist Using SAS 9 Certification Exam, SAS Certified Statistical Business Analyst Using SAS 9 Regression and Modeling, SAS Certified Advanced Programmer for SAS 9","Analytic Modernization, Customer Intelligence",,Reseller,"Education, Financial Services, Public Sector/Government, Health Care and Life Sciences, Insurance, Manufacturing, Media and Entertainment, Pharmaceutical, Retail, Telecommunications, Energy and Utilities, Human Resources, Agriculture, Aerospace",English,https://www.sas.com/en_us/partners/find-a-partner/all-partners/43.html
"AMEBIS, d.o.o., Kamnik",,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/7623.html
Amesto Nextbridge AS,,Reseller,,Norway,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/4890.html
Amplio s.r.o.,,Reseller,,Slovakia,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8561.html
Amsio BV,,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/7365.html
"Amyx, Inc.",,Consulting,,United States,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/12435.html
Analisis Estadisticos Pertica SL,,Consulting,,Spain,,,,Sell With,,"Spanish, English",https://www.sas.com/en_us/partners/find-a-partner/all-partners/7360.html
Analogic Care,,Reseller,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11140.html
