Name,Description,Type,Business Topic,Geography,Certifications,Additional Experience,Diversity,Engagement Model,Industries,Languages,URL
KocSistem Bilgi ve Ýletiþim Hizmetleri A.Þ.,"As a member of Koç Group of Companies, KoçSistem is a long-established and leading information technology company, presenting technology to the business world for over 70 years. Offering a competitive edge and productivity to companies with its innovative products and services, KoçSistem maintains its leading position in the industry, with its vision, modes of operation, and the value it attaches to its stakeholders.",Reseller,Analytics,Turkey,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/6809.html
KOIOS savjetovanje d.o.o.,,Consulting,,Croatia,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/3790.html
Kolon Benit,,Reseller,,"Korea, Republic of",,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/6962.html
KPMG (Argentina),,Reseller,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11729.html
KPMG (Austria),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/kpmg.html
KPMG (Belgium) ,,Consulting,,Belgium,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/12755.html
KPMG (Canada),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/kpmg.html
KPMG (China),,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11648.html
KPMG (Colombia),,Consulting,,Colombia,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/13078.html
KPMG (Cyprus),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/kpmg.html
KPMG (Czech Republic),,Consulting,,Czechia,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/5868.html
KPMG (Finland),,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10048.html
KPMG (France),,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/5650.html
KPMG (Greece),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/kpmg.html
KPMG (India),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/kpmg.html
KPMG (Indonesia),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/kpmg.html
KPMG (Ireland),,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/13684.html
KPMG (Israel),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/kpmg.html
KPMG (Kenya),,Consulting,,Kenya,,,,Sell With,,English,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11916.html
KPMG (Korea),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/kpmg.html
KPMG (New Zealand),,Reseller,,New Zealand,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10626.html
KPMG (Norway),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/kpmg.html
KPMG (Portugal),,Consulting,,Portugal,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11809.html
KPMG (Singapore),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/kpmg.html
KPMG (South Africa),,Consulting,,South Africa,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/2442.html
KPMG (Spain),,Consulting,,Spain,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8218.html
KPMG (Taiwan),,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/12366.html
KPMG (Thailand),,Consulting,,Thailand,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8262.html
KPMG (Turkey),,Consulting,,Turkey,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/12477.html
KPMG (UK),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/kpmg.html
KPMG (Vietnam),,Consulting,,Vietnam,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/14349.html
KPMG ADVISORY S.p.A.,,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/kpmg.html
KPMG Financial Risk & Actuarial Services Ltda - Brazil,,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/kpmg.html
KPMG Phils Inc,,Consulting,,Philippines,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/13995.html
KROPMANN COMMUNICATIONS LTD,,Reseller,,Nigeria,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/12486.html
Kruger Corp SA (Ecuador),"Somos una compañía multinacional dedicada a habilitar la 4ta Revolución Industrial, a través de la transformación digital y el uso de tecnologías disruptivas. ",Reseller,"Analytics, Data Management, Visualization",Ecuador,,"Risk Management, Customer Intelligence",,Reseller,"Telecommunications, Energy and Utilities, Manufacturing, Public Sector/Government, Insurance, Financial Services, Retail","English, Spanish",https://www.sas.com/en_us/partners/find-a-partner/all-partners/10572.html
Kruger Innova Costa Rica,,Reseller,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11889.html
KYBEIDOS Ges. für Systeme zur Unternehmenssteuerung mbH,"KYBEIDOS - Die Spezialisten für Datenintegration, Business Intelligence und IT-Architektur
Seit 30 Jahren betreut KYBEIDOS erfolgreich SAS- und Java-Projekte und hat sich dabei stetig weiterentwickelt. Unsere Seniorberater, Architekten und Trainer erheben den Anspruch, Ihre Projekte in allen Projektphasen methodisch und technisch kompetent zu unterstützen.   
Wir beraten Sie gerne zu Marktentwicklungen, wichtigen Rahmenbedingungen für Ihre BI-Strategie, unterstützen Sie bei Tool-Evaluierungen und POCs sowie im klassischen Projektalltag.
",Consulting,,"Switzerland, Germany",,,,Sell With,"Financial Services, Health Care and Life Sciences, Insurance, Telecommunications","English, German, Russian",https://www.sas.com/en_us/partners/find-a-partner/all-partners/395.html
LACO,,Reseller,,Belgium,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/4517.html
Lantech Business Solutions,,Reseller,,Zambia,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8702.html
Larsen & Toubro Infotech Ltd (India),,Consulting,,India,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8470.html
Launch Consulting,,Consulting,,United States,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/13511.html
Lavery Russell - Independent Consultant,,Consulting,,United States,,,,Sell With,Pharmaceutical,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/1060.html
Lawrance Jackson t/a Catalyst Management,,Reseller,,Australia,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11690.html
Layer3 Ltd,,Reseller,,Nigeria,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8752.html
LCGBR Consultoria e Servicos de Internet SA (Brazil),,Reseller,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/13983.html
Leagilwe Consulting,"We at Leagilwe Consulting strive to provide a comprehensive range of strategic services from software solutions, architecture consulting, process automation, upgrades, Migrations, installations, data management, and business intelligence solutions. Our goal is to be the preferred partner in the provision of managed services. We aim to empower our employees so they can provide dazzling service and produce amazing solution thus ultimately empowering our customers.",Consulting,Data Management,South Africa,,,,Sell With,"Telecommunications, Energy and Utilities",,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9453.html
Leap Consulting,,Reseller,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9251.html
Leega,,Reseller,,Brazil,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/5285.html
Lenovo (US) Inc.,,Ecosystem,,,,,,IoT Partner,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9394.html
