Name,Description,Type,Business Topic,Geography,Certifications,Additional Experience,Diversity,Engagement Model,Industries,Languages,URL
Morehouse Institute,,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9275.html
Morgan Thomas Consulting Ltd,,Consulting,,Canada,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9312.html
Mourway Lda,"Mourway is a business technology consulting firm focused on Data Management, Analytics and Intelligence based out of Mozambique covering the SADC region. Our approach is based on the technology integration with Adoption and Change Management to ensure that the acquired technological capabilities are being translated into business scenarios, that will drive tangible value with ROI in perspective across the entire organization.",Reseller,"Analytics, Data Management, Visualization",Mozambique,,,,Reseller,"Telecommunications, Education, Public Sector/Government, Health Care and Life Sciences, Agriculture, Financial Services","English, Portuguese",https://www.sas.com/en_us/partners/find-a-partner/all-partners/13555.html
msg Rethink Compliance GmbH (Austria),,Reseller,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/14388.html
msg Rethink Compliance GmbH (Switzerland),,Reseller,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/14391.html
msgGillardon AG,,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8610.html
"Msrcosmos, LLC",,Consulting,,United States,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10829.html
"Muetzel, Theresa - Independent Consultant",,Consulting,,United States,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/6665.html
Multi Innovation Engineering Company Limited,Become the leading telecommunication engineering and future energy service provider in ASEAN with world class servicing,Reseller,Analytics,Thailand,,Customer Intelligence,,Reseller,"Media and Entertainment, Health Care and Life Sciences, Aerospace",English,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10499.html
Multicom doo,,Reseller,,"Albania, Bosnia and Herzegovina, Croatia, North Macedonia, Montenegro, Serbia",,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11281.html
Munvo (Canada),,,,,,,,,,,https://www.sas.com/content/sascom/en_us/partners/find-a-partner/alliance-partners/us-partners/munvo.html
Munvo (US),,,,,,,,,,,https://www.sas.com/content/sascom/en_us/partners/find-a-partner/alliance-partners/us-partners/munvo.html
Mura Consultoria EM Sistemas de Informatica Ltda Me (Distinct),,Reseller,,Brazil,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8688.html
MVI PROPLANT Nord GmbH,,Reseller,,Germany,,,,Reseller,,"English, German",https://www.sas.com/en_us/partners/find-a-partner/all-partners/14234.html
MWARE Solutions SRL,,Reseller,,Romania,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11866.html
N Data,,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/7105.html
N&I Systems Inc,,Consulting,,Japan,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9859.html
NAT Consultores,,Reseller,,Argentina,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10271.html
National,,Consulting,,Canada,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/4946.html
Nature Insight Co Ltd,,Consulting,,Japan,,,,Sell With,"Education, Financial Services, Insurance, Manufacturing, Pharmaceutical, Retail",,https://www.sas.com/en_us/partners/find-a-partner/all-partners/858.html
"Ncore, LLC",NCORE is a SDVOSB providing cutting edge SAS analytical solutions to its public sector clients with cleared SAS certified professionals.,Consulting,Analytics,United States,SAS Certified Base Programmer for SAS 9,Fraud (Security Intelligence),,Sell With,Public Sector/Government,English,https://www.sas.com/en_us/partners/find-a-partner/all-partners/12090.html
NCS Pte Ltd,,Consulting,,Singapore,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/7779.html
ND Negocios Digitales SA de CV,,Reseller,,Mexico,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8698.html
NEC Corp,,Reseller,,Japan,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/5795.html
NEC CORPORATION (India),,Consulting,,India,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/13425.html
NEC CORPORATION (US),"NEC is a leader in Information and Communications Technology, providing services and solutions across all industries. ",Consulting,,,,,,IoT Partner,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/12555.html
NEC HONG KONG LIMITED,,Reseller,,Hong Kong,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/14240.html
