Name,Description,Type,Business Topic,Geography,Certifications,Additional Experience,Diversity,Engagement Model,Industries,Languages,URL
CAIR Research Services Center d.o.o.,,Consulting,,Croatia,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/2351.html
Calchas,,Consulting,,Netherlands,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/6385.html
Capgemini (Austria),,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10906.html
Capgemini (France),,,,,,,,,,,http://www.sas.com/partners/directory/capgemini/index.html
Capgemini (Germany),,,,,,,,,,,http://www.sas.com/partners/directory/capgemini/index.html
Capgemini (India),,,,,,,,,,,http://www.sas.com/partners/directory/capgemini/index.html
Capgemini (Italy),,,,,,,,,,,http://www.sas.com/partners/directory/capgemini/index.html
Capgemini (Singapore),,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10808.html
Capgemini (Spain),,,,,,,,,,,http://www.sas.com/partners/directory/capgemini/index.html
Capgemini (Switzerland),,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11044.html
Capgemini (UAE),,,,,,,,,,,http://www.sas.com/partners/directory/capgemini/index.html
Capgemini (US),,,,,,,,,,,http://www.sas.com/partners/directory/capgemini/index.html
Captis Intelligence Inc,"Today’s criminal ecosystem continues to evolve and progress to a level that imposes far more complex demands on security professionals. The Captis i4 system not only answers these demands, The I-4 is built on an advanced cloud platform of technology, tools, and functionality that provides more than just security by creating ways to optimize asset protection processes, significantly reduce costs, and proactively manage risk for clients and local communities",Ecosystem,,,,,,IoT Partner,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10036.html
Carad Consultants BVBA,,Consulting,,Belgium,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/6121.html
Carespace AB,,Consulting,,Sweden,,,,Sell With,,Swedish,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11818.html
Carlan Advisors LLC,,Ecosystem,,,,,,IoT Partner,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/12144.html
Carve Consulting P/S,,Reseller,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11083.html
CATAPULT BI PTY LTD,,Reseller,,Australia,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11584.html
"CData Software, Inc.","CData Software is a leading provider of data access and connectivity solutions. Our tools streamline data access through standards-based Drivers (ODBC, JDBC, ADO.NET, OData, etc.) that insulate users from the complexities of integrating with on-premise or cloud databases, SaaS, NoSQL, and Big Data. CData technologies extend the real-time data connectivity capabilities of SAS Products, providing live connectivity to more than 150+ Enterprise data sources that flow through existing SAS/Access methods.",Ecosystem,Data Management,,,,,Data Management,"Public Sector/Government, Hospitality, Energy and Utilities, Pharmaceutical, Telecommunications, Financial Services, Media and Entertainment, Human Resources, Retail, Manufacturing, Agriculture, Insurance, Aerospace, Health Care and Life Sciences, Education",,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10504.html
Cefriel Scarl,,Consulting,,Italy,,,,Sell With,,"English, Italian",https://www.sas.com/en_us/partners/find-a-partner/all-partners/12150.html
Centric Innovation AS,Centric innovation is a Norwegian consulting company that develops SAS-based solutions in the bank-financial and the health sector in the Nordic countries.,Reseller,,Norway,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/5835.html
Certo Consulting SPRL,,Consulting,,Belgium,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/6118.html
CERVUS DEFENCE AND SECURITY LIMITED,,Reseller,,"United Kingdom, Ireland",,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/13245.html
CGI (Belgium),,Consulting,,Belgium,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/2288.html
CGI (Canada),,Consulting,,Canada,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/5441.html
CGI (Czech Republic),,Consulting,,Czechia,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/7438.html
CGI (Finland),,Consulting,,Finland,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/3541.html
CGI (France),,Consulting,,France,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/2678.html
CGI (Germany),"To help our clients succeed through outstanding quality, competence and objectivity, providing thought leadership and delivering the best services and solutions to fully satisfy client objectives in information technology, business processes and management. In all we do, we foster a culture of partnership, intrapreneurship, teamwork and integrity, building a global world class information technology and business process services company.                                                                                                                                                                

Competency Areas:	Analytics, Data Management, Visualization           


Certifications: Certifications	SAS Certified Base Programmer for SAS 9, SAS Certified Data Integration Developer for SAS9, SAS Certified Platform Administrator for SAS9, SAS Certified Predictive Modeler using Enterprise Miner 13",Consulting,,Germany,,,,Sell With,"Aerospace, Financial Services, Public Sector/Government, Manufacturing, Media and Entertainment, Telecommunications, Energy and Utilities",,https://www.sas.com/en_us/partners/find-a-partner/all-partners/4780.html
CGI (Netherlands),"Founded in 1976, CGI is a global IT and business process services provider delivering high-quality business consulting, systems integration and outsourcing services. With 72,000 professionals in 40 countries, CGI has an industry-leading track record of on-time, on-budget projects, aligning our teams with clients’ business strategies to achieve top-to-bottom line results.",Consulting,,Netherlands,,,,Sell With,"Aerospace, Education, Financial Services, Public Sector/Government, Health Care and Life Sciences, Human Resources, Insurance, Manufacturing, Media and Entertainment, Pharmaceutical, Retail, Telecommunications, Energy and Utilities",,https://www.sas.com/en_us/partners/find-a-partner/all-partners/3486.html
CGI (Portugal),,Consulting,,Portugal,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/2705.html
CGI (Sweden),,Reseller,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/7149.html
Chartertech,,Reseller,,Australia,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11845.html
CHELONIA SA,,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/14306.html
CIMA Data Analytics SA,,Consulting,,Romania,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9081.html
Cintellic (Germany),"CINTELLIC is a leading consulting firm for digital transformation and marketing automation in the field of CRM and CEM - focusing on integrated management of the following interfaces: BUSINESS, DATA and TECHNOLOGY. Focus areas: Strategy, business analysis, business concepts, implementation, support in daily business Specialization: Marketing Automation, Customer Experience Management, CRM Marketing/Sales, CRM processes and solutions, Customer Insights, Customer Analytics, Business Intelligence, Data Warehouse, IT management",Reseller,Analytics,"Switzerland, Germany, Denmark",SAS Certified Base Programmer for SAS 9,Customer Intelligence,,Sell With,"Energy and Utilities, Media and Entertainment, Insurance",English,https://www.sas.com/en_us/partners/find-a-partner/all-partners/5606.html
CIS Lebanon (Nigeria),,Reseller,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9257.html
CIS Lebanon (UAE),,Reseller,,Lebanon,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8010.html
CISCO (Australia),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/cisco.html
CISCO (Austria),,Technology,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10528.html
CISCO (Belgium),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/cisco.html
CISCO (Columbia),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/cisco.html
CISCO (Finland),,Technology,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10531.html
CISCO (France),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/cisco.html
CISCO (India),,Technology,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9143.html
CISCO (Italy),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/cisco.html
CISCO (Japan),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/cisco.html
CISCO (Malaysia),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/cisco.html
CISCO (Netherlands),,Technology,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10534.html
CISCO (Norway),,Technology,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10537.html
