Name,Description,Type,Business Topic,Geography,Certifications,Additional Experience,Diversity,Engagement Model,Industries,Languages,URL
IFB (Germany),"Trusted consulting partner for forward-looking-solutions in financial and risk management, compliance and operational excellence for more than 30 years",Consulting,Analytics,Germany,SAS Certified Base Programmer for SAS 9,Risk Management,,Sell With,"Financial Services, Insurance","German, English",https://www.sas.com/en_us/partners/find-a-partner/all-partners/5512.html
"Ignyte Group, Inc.",,Consulting,,United States,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/13729.html
IKNOWPLUS COMPANY LIMITED,,Reseller,,Thailand,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/13317.html
IL&FS TECHNOLOGIES LIMITED,,Reseller,,India,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/7689.html
Illootech,,Consulting,,"Korea, Republic of",,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/7842.html
Imaghine,,Reseller,,Philippines,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8379.html
In22 Labs (Unwind Learning Labs Private Limited),,Consulting,,India,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9328.html
IN2Data Ltd,,Consulting,,"Albania, Bosnia and Herzegovina, Croatia, North Macedonia, Slovenia",,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8797.html
In2IT Technologies Pvt Ltd,"In2IT Technologies is fast being reckoned as the authority in IT Consultancy, Cloud Computing, Managed Services, Application Development & Maintenance, Business Process Management, Technology Infrastructure Services, Program and Project Management and Future Edge Services to its Clientele in India and abroad especially in the US, South Africa, Australia, Middle East and Singapore to name a few significant geographies.",Reseller,,Zimbabwe,,"Fraud (Security Intelligence), Risk Management",,Reseller,"Insurance, Public Sector/Government, Telecommunications, Hospitality, Energy and Utilities, Health Care and Life Sciences, Financial Services",English,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8287.html
Indexer s. r. o.,,Consulting,,Slovakia,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8220.html
Indra (Italy),,Consulting,,Italy,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/4679.html
Indra (Spain),Indra is one of the leading global technology and consulting companies and the global technology partner for the key businesses of its clients around the world  ,Consulting,Data Management,Spain,,,,Sell With,Energy and Utilities,"Spanish, English",https://www.sas.com/en_us/partners/find-a-partner/all-partners/3537.html
INEHO CONSEIL,,Consulting,,France,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9620.html
INENCO S.R.L. (Argentina),,Reseller,,Argentina,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/13835.html
INETUM  ESPAÑA SA.,,Reseller,,"Spain, Andorra",,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/7269.html
"Infinity Tech Group, Inc.","Infinity Tech Group, Inc. is a SAS Professional Solutions Services company headquartered in New Jersey, NJ - USA. We're on top with Analytic Modernization Including AI and IoT. We serve a global customer base, with primary support for clients in the United States with Offices in New Jersey, Miami and NewHampshire. Overseas for United Kingdom and India. Infinity Tech Group provides certified professional consulting services for Media and Entertainment, Gaming & Hospitality, Energy and Utilities, Financial Services, Telecommunications, Public Sector/Government, Manufacturing, Retail, Health Care and Life Sciences. We are experts at integrating best-of-breed technologies to Cloud transformation including Migration of SAS environments to SAS® Viya™ and Third-party software component integrated with open source platform. We are able to support customers with Design, Planning, Installation, Configuration, Migration and Administration including architecture recommendations to solve complex big data business problems based on SAS core competencies in advanced analytics, data management and visualization using SAS Best Practices for Cloud environment with SAS Technologies an Solutions specifically addressing the different Cloud infrastructures, including AWS, Google, Dockers and Kubernetes.",Consulting,"Analytics, Data Management, Visualization",United States,"SAS Certified Base Programmer for SAS 9, SAS Certified Advanced Programmer for SAS 9, SAS Certified Data Quality Steward for SAS 9, SAS 9.4 Business Analytics Platform Deployment Practical Certification, SAS Certified Platform Administrator for SAS 9","Analytic Modernization, Customer Intelligence, Fraud (Security Intelligence), Risk Management",,Sell With,"Media and Entertainment, Financial Services, Manufacturing, Retail, Hospitality, Health Care and Life Sciences, Energy and Utilities, Telecommunications, Insurance, Public Sector/Government",,https://www.sas.com/en_us/partners/find-a-partner/all-partners/4266.html
Info Drive Risk Management Services LLC (UAE),"Infodrive is working with SAS as a channel partner, customer relationships and implementation partner on several implementations of SAS Solutions and Products across APAC, EMEA, Europe and USA regions on various Domains since decades and had many success stories  
",Reseller,"Analytics, Data Management, Visualization",United Arab Emirates,"SAS Certified Advanced Programmer for SAS 9, SAS Certified Predictive Modeler using Enterprise Miner 13, SAS Certified Base Programmer for SAS 9, SAS Certified Statistical Business Analyst Using SAS 9 Regression and Modeling, SAS Certified Visual Analytics Deployment Specialist Using SAS 9 Certification Exam, SAS Certified Visual Business Analyst Exploration and Design Using SAS Visual Analytics","Analytic Modernization, Customer Intelligence, Fraud (Security Intelligence), Risk Management",,Reseller,"Financial Services, Insurance, Telecommunications, Agriculture, Public Sector/Government, Retail, Education, Manufacturing, Health Care and Life Sciences",English,https://www.sas.com/en_us/partners/find-a-partner/all-partners/5753.html
Info Tech Inc,,Consulting,,United States,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/342.html
Infocepts Pte Ltd,,Consulting,,Singapore,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/13760.html
Infocura BVBA,,Reseller,,Belgium,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/7605.html
INFODAS Gesellschaft für Systementwicklung und Informationsverarbeitung mbH,,Consulting,,Germany,,,,Sell With,,"German, English",https://www.sas.com/en_us/partners/find-a-partner/all-partners/13790.html
Infoedge Srl,,Consulting,,Italy,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/4892.html
Infoedge Technology Srl,,Consulting,,Italy,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8464.html
Infogain,,Reseller,,United States,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/7908.html
INFOGAIN SOLUTIONS LIMITED,,Consulting,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/14117.html
Infologic Ltd,,Consulting,,Hong Kong,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/3850.html
Infolyst Company Limited,,Reseller,,Thailand,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9206.html
Infomotion GmbH,,Consulting,,Germany,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/2776.html
INFORDATA SPA,,Consulting,,Italy,,,,Sell With,,"Italian, English",https://www.sas.com/en_us/partners/find-a-partner/all-partners/13167.html
INFORMATICA TECNOLOGIA & COMUNICACION S.A.,,Reseller,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/14412.html
Information Age Consulting,,Reseller,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/7093.html
Information Communication Technology,,Reseller,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/14246.html
Information Sharing Co Srl (ISC),,Reseller,,Italy,,,,Reseller,,Italian,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9265.html
