Name,Description,Type,Business Topic,Geography,Certifications,Additional Experience,Diversity,Engagement Model,Industries,Languages,URL
Datastar Argentina SA,,Reseller,,Argentina,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8533.html
"DataStax, Inc","DataStax provides companies with an always-on, distributed cloud database built on Apache Cassandra™ and designed for hybrid cloud as a foundation for real-time applications at massive scale.",Ecosystem,,,,,,IoT Partner,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10343.html
"DataVisor, Inc.",,Ecosystem,,,,,,Fraud,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10975.html
DATAWAVES,"SAS Consulting company for bank/assurances, transport, administration.  ",Reseller,Analytics,France,,Analytic Modernization,,Reseller,"Education, Public Sector/Government, Insurance","English, French",https://www.sas.com/en_us/partners/find-a-partner/all-partners/8869.html
Datco SA (Argentina),,Reseller,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9153.html
Datoil Oy,Data is the new oil - check why,Reseller,,Finland,,,,Reseller,"Financial Services, Health Care and Life Sciences, Insurance, Media and Entertainment, Pharmaceutical",,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8652.html
Datta - Innova,,Reseller,,Ecuador,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8915.html
Davis Development Group LLC,,Consulting,,United States,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11170.html
Dawning Technology Inc,,Reseller,,Taiwan,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/12944.html
DB System S.A.S (Columbia),,Reseller,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/13974.html
De kwantitatieve dienst,,Consulting,,Netherlands,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/4465.html
Dean H. Wise LLC,,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10790.html
Debtec a.s.,,Reseller,,Slovakia,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11952.html
Decadis AG,We are an independent consulting company with over 70 employees and have been successfully supporting our customers since 2004 in using the opportunities offered by the digital world safely and successfully.,Consulting,"Analytics, Data Management, Visualization",Germany,"SAS Certified Base Programmer for SAS 9, SAS Certified Advanced Programmer for SAS 9, SAS Certified Statistical Business Analyst Using SAS 9 Regression and Modeling, SAS Certified Platform Administrator for SAS 9, SAS Certified Data Integration Developer for SAS 9",Customer Intelligence,,Sell With,"Financial Services, Manufacturing, Media and Entertainment, Telecommunications, Public Sector/Government","German, English",https://www.sas.com/en_us/partners/find-a-partner/all-partners/2192.html
Decerno AB,,Reseller,,Sweden,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/7959.html
Decision Consulting,,Reseller,,Senegal,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/2679.html
Decision Network,,Reseller,,France,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/4404.html
Decisive Group Inc (Canada),,Reseller,,,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/13890.html
"Decisyon, Inc.","Decisyon App Composer (DAC) has a unique drag and drop environment that leverages a catalog of native and other compliant microservices to accelerate the creation of Internet of Things (IoT) solutions and inject real-time intelligence into  business operations with no need for multiple applications or extensive coding.
",Ecosystem,,,,,,IoT Partner,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9396.html
Dedagroup Business Solutions Srl,,Reseller,,Italy,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/6418.html
DEDAGROUP PUBLIC SERVICES SRL,,Reseller,,Italy,,,,Reseller,Public Sector/Government,"English, Italian",https://www.sas.com/en_us/partners/find-a-partner/all-partners/6422.html
Dedagroup SpA,,Consulting,,Italy,,,,Sell With,,"English, Italian",https://www.sas.com/en_us/partners/find-a-partner/all-partners/11393.html
Dell (Singapore),,Technology,,Singapore,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10525.html
Dell (UK),,Technology,,,,,,Third Party,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9298.html
Dell (US),,Technology,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/2552.html
Deloitte & Touche Corp (Taiwan),,Consulting,,Taiwan,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/12558.html
Deloitte (Belgium),,,,,,,,,,,http://www.sas.com/partners/directory/deloitte/index.html
Deloitte (Canada),,,,,,,,,,,http://www.sas.com/partners/directory/deloitte/index.html
Deloitte (Chile),,,,,,,,,,,http://www.sas.com/partners/directory/deloitte/index.html
Deloitte (Czech Republic),,,,,,,,,,,http://www.sas.com/partners/directory/deloitte/index.html
Deloitte (Denmark),,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/6972.html
Deloitte (Finland),,,,,,,,,,,http://www.sas.com/partners/directory/deloitte/index.html
Deloitte (Greece),,Consulting,,Greece,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8082.html
Deloitte (Hong Kong),,Consulting,,Hong Kong,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10522.html
Deloitte (India),,,,,,,,,,,http://www.sas.com/partners/directory/deloitte/index.html
Deloitte (Italy),,,,,,,,,,,http://www.sas.com/partners/directory/deloitte/index.html
Deloitte (Japan),,,,,,,,,,,http://www.sas.com/partners/directory/deloitte/index.html
Deloitte (Netherlands),"Deloitte is the largest professional services network in the world by revenue and number of professionals, providing industry-leading services to nearly 90% of the Fortune Global 500® and thousands of private companies and public organisations  ",Consulting,"Analytics, Data Management, Visualization",,,"Analytic Modernization, Customer Intelligence, Fraud (Security Intelligence), Risk Management",,Sell With,,"Dutch, English",https://www.sas.com/en_us/partners/find-a-partner/all-partners/6099.html
Deloitte (New Zealand),,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/12429.html
Deloitte (Norway),,,,,,,,,,,http://www.sas.com/partners/directory/deloitte/index.html
Deloitte (Romania),,,,,,,,,,,http://www.sas.com/partners/directory/deloitte/index.html
Deloitte (South Africa),,,,,,,,,,,http://www.sas.com/partners/directory/deloitte/index.html
Deloitte (Sweden),,,,,,,,,,,http://www.sas.com/partners/directory/deloitte/index.html
Deloitte Consulting (Shanghai) Co Ltd,,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10838.html
Deloitte Consulting (Spain),,,,,,,,,,,http://www.sas.com/partners/directory/deloitte/index.html
Deloitte Consulting (Taiwan),,Consulting,,Taiwan,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/13308.html
Deloitte Consulting (UK),,,,,,,,,,,http://www.sas.com/partners/directory/deloitte/index.html
Deloitte Consulting Pte Ltd (Singapore),,Reseller,,Singapore,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/14270.html
Deloitte Konsultan (Indonesia),,Reseller,,Indonesia,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11164.html
Deloitte MCS Ltd (UK),,,,,,,,,,,http://www.sas.com/partners/directory/deloitte/index.html
